a,неопределенныйартикль
peer,вглядываться/всматриватьсяp-
peered,Глядел(*e-)
peering,Глядя-ing
peeves,Обиды
peg,целиться
pen,ручка
pencil,карандаш
pending,вовремя/втечение
penetrate,проникатьвнутрь
penholder,ручка(дляпера)
penknife,перочинныйнож
penny,пенни
pensioner,пенсионер
people,люди
pepper,перец
per,в
perceive,воспринимать/ощущать
perceived,Воспринятый
percent,процент
percy,Перси
perfect,совершенный
perfection,совершенство
perfectly,совершенно/вполне
perform,делать/выполнять
performance,спектакль
performed,Выполненный(неотсловаfulfil)
perfume,духи
perhaps,возможно/можетбыть
peril,опасность
perilous,опасный/рискованный
period,период
periodic,периодический
periods,Периоды
permanent,постоянный
permanently,постоянно
permissible,допустимый
permission,разрешение
permit,разрешать
permitted,Разрешенный
perpendicular,перпендикулярный
perpetual,вечный/постоянныйp-
perry,Перри
persecution,преследование
perseverance,настойчивость/упорство
persian,Персидский
persistent,настойчивый
person,человек/особа/лицо/личность
personal,личный
personally,лично
persons,Люди
perspective,перспектива/перспективный
persuade,убеждать
persuaded,Убежденный(неconvinced)
perverse,извращенный/испорченный/превратный
pest,паразит/вредитель/бич
pet,любимоедомашнееживотное/любимец
peter,Питер
petition,петиция/прошение/подаватьпетицию
petrol,бензин
pets,домашниеживотные(отpet)
phantom,Фантом
phase,фаза/фазировать
philadelphia,Филадельфия
philip,Филип
philosophical,философский
philosophy,философия
phone,телефон
phosphate,Фосфат
photo,фотография
photograph,фотография/фотографировать
photographer,фотограф
photographic,фотографический
photographing,фотографирование
photography,фотография
phrase,фраза
physical,физический
physically,физически
physician,врач
piano,пианино
pick,собирать/подбирать/выбирать
picked,собранный/выбранный!
pickles,маринованныеогурцы
picnic,пикник
picture,картина/изображение/рисовать/описывать
